time,text,mode,size,color,user,likes
1138.343,司马懿：我很喜欢，谢谢,5,25,15138834,5a128609,0
1134.636,司马懿：甘心，怎么能不甘心呢！丞相给脸咱得兜着不是！,5,25,41194,27015524,0
1427.215,翻译：打不过，怂，苟，懂？,5,25,15138834,447bfef2,0
2010.149,魏延：终究是错付了，青梅不敌天降,5,25,16707842,e6a0034d,0
1691.544,姜维也像丞相一样鞠躬尽瘁死而后已了,1,25,15138834,e5f6970b,0
1047.157,司马懿：完了语音外放都给听光了,5,25,15138834,362998eb,0
1711.137,别说了！先帝要看见肯定第一个拉你去休息！,5,25,16777215,2c6d9ff8,0
2377.427,屏幕前担心丞相的我,5,25,104601,ff0bfc43,0
858.554,跟丞相打架时间长了就会得这种只要没被打死就感激万分的病,5,25,16707842,63c03b85,0
936.961,曹老板的《龟虽寿》也挺适合诸葛丞相,5,25,15138834,7265f841,0
1452.703,「他曾问起丞相的寝食如何」,5,25,16646914,e2f150ad,0
2033.927,捕捉到一只吃醋的文长,5,25,52480,d68b9067,0
1383.831,《立体环绕声》,5,25,15772458,8822a469,0
477.556,众所周知，见到诸葛亮疑似军粮的时候赶紧跑，别回头,5,25,16707842,1ecf6726,0
1731.536,张三爷若在，绑也将丞相绑回床上,5,25,15138834,e37641ca,0
742.672,这种时候放卧龙吟我真的会泪崩,5,25,41194,97332731,0
2222.651,诸葛亮：你老是想接替我掌管三军到底所为何事？,5,25,16707842,246d12c5,0
2549.619,阎王爷：来人，取生死簿来，给孔明加20年阳寿,5,25,16740868,6554227d,0
1942.524,丞相都知道你们就是在哄他,5,25,16707842,63c03b85,0
976.178,丞相从来不怕打大规模遭遇战 只怕敌人龟缩不出不跟他打,5,25,16707842,63c03b85,0
886.236,因为丞相知道自己身体不行了 他要保证汉军能够平安撤回汉中,5,25,16707842,63c03b85,0
1501.427,诸葛亮怒学五禽戏 誓要熬过司马老贼,5,25,15138834,37763fe6,0
1329.837,孙十万：论养生，咱也是高手,5,25,16707842,6de989fd,0
1477.1,我闻过则喜,5,25,15138834,80ea7ffa,0
2388.61,终于意识到是自己的社稷了,5,25,16777215,e842bd2f,0
2042.422,那不叫公余之暇 那叫睡眠时间,5,25,16707842,63c03b85,0
1465.898,事实证明：老实人不适合谈判、纯属送人头！,5,25,16777215,8309738e,0
1662.413,唉 被召回的两次本来是有胜算的,5,25,16776960,ae27cf42,0
666.908,先自刎就神作了,5,25,16777215,a63aac20,0
1098.999,“哼，我早就想穿了”,1,25,16777215,e37ac47a,0
2060.215,魏延：没我事，退群了,5,25,16776960,d806da2,0
234.264,上方谷这段本来不是历史，是虚构故事，倒也不必强行去用科学解释,5,25,16776960,d806da2,0
