time,text,mode,size,color,user,likes
1473.449,丞相别急 还有一处名“奥特曼港”,5,25,16707842,eb41c79e,0
1088.296,备备：你敢委屈我老婆我打死你个逆子,5,25,16707842,8037fd8c,0
334.814,丞相：骂王朗不过瘾，再骂曹真一下,5,25,9033215,9ba1cfb9,0
716.568,丞相若真有此心，那可真是太好啦～,5,25,16707842,111478d,0
463.769,这。。口味奇特,5,25,15138834,a262c6ad,0
1527.386,司马懿:对面又整活了,5,25,15138834,e3e550e0,0
1595.111,早期唯物主义者珍贵录像,5,25,14811775,82eeae70,0
1482.332,魏延每日在林中砍树怒吼,5,25,16777215,b6df3b26,0
847.098,汉昭烈帝直接揭棺而起扒出惠陵怒拔双股剑给刘禅一记,5,25,15138834,a558d6,0
754.322,先帝直接揭棺而起怒拔双股剑,5,25,16707842,a558d6,0
1933.916,《小麦保卫战》,5,25,16765698,69a06fa9,0
451.366,笑容僵住,5,25,16707842,519dd1b5,0
967.151,诸葛亮：就知道你会闲着没事数我灶台,1,25,16777215,2c1624e4,0
1787.572,拼命追赶（指差点被吓死）,5,25,16707842,7b11b8f1,0
551.847,曹魏刀斧手：垃圾，效率这么低,5,25,15138834,226a22e7,0
2253.116,李严妙计除张郃,5,25,16707842,66a95e46,0
2401.326,丰：意思怪我咯？,5,25,16777215,63df815,0
1741.97,五   谷   丰   登,5,25,16707842,7aeafe7b,0
1124.242,他俩站在一起像寡母带傻儿子（doge,5,25,16707842,e40641e0,0
2005.196,《攻  下  汝  城》,5,25,15138834,ccc544c4,0
2116.146,后主:这回可不是我搞事啊,1,25,15138834,e7701eca,0
693.709,这不就是当初诸葛亮对司马懿的招数吗,5,25,16646914,65e0ca04,0
2481.905,蜀国决心是统一天下，军心还在，贵在速战。,5,25,16776960,1e9e2611,0
2524.155,诸葛亮：NND，你们全都消失我就成功了,5,25,16777215,64c6b8aa,0
471.603,宫中府中俱为一体,5,25,16777215,25055566,0
2198.999,诸葛亮才是托孤忠臣！,5,25,16776960,4c84207b,0
2052.371,孙十万：这次真没有  我在合肥呢,5,25,16776960,e3b74883,0
827.681,刘备：你忘了我嘱咐你什么来着 如其不才 之后呢？,5,25,16776960,e3b74883,0
734.728,诸葛亮：我真有这个想法 你都死一万次了,5,25,16776960,e3b74883,0
804.558,“后主刘禅”是真的出戏,1,25,16777215,bcb01914,0
2228.478,李严妙计除张郃的笑死我了,5,25,15138834,5ea02f82,0
2032.359,伯约情商高啊，看把丞相哄的高兴的,1,25,16777215,1b67bb06,0
224.474,司马懿：我猜到你是菜狗子,5,25,16707842,89432259,0
2242.488,你他妈最愧对的是丞相！！,5,25,16707842,63c03b85,0
762.152,都说第一次北伐最接近成功 其实第四次才是真的形势一片大好压着魏军打,5,25,16707842,63c03b85,0
1561.956,直奔诸葛亮的四轮车,5,25,16777215,b3406401,0
304.03,魏延：啊这..好尴尬,5,25,16776960,1e9e2611,0
2191.989,这么离谱的情节竟然是陈寿记载的,5,25,16765698,8b84c6d4,0
2266.684,《相父大事》,5,25,16777215,e842bd2f,0
1093.833,大 宝 备 震 怒,5,25,16707842,63c03b85,0
1628.366,镰刀都抡冒烟了,5,25,16776960,25f54af6,0
812.546,后主是编剧自己改的，故意讽刺刘禅,5,25,16707842,e273a10b,0
1551.592,司马懿一生之敌：朱哥亮,5,25,16707842,40c36ee1,0
397.416,诸葛亮不长这样我不信,5,25,15138834,40c36ee1,0
1222.312,诸葛亮权倾朝野却仍然忠诚，这就是他为什么受到后人的赞扬,5,25,16776960,4c9e6082,0
1544.294,司马懿：《走出科学》,5,25,15138834,9364d190,0
