time,text,mode,size,color,user,likes
838.51,翼德打仗，你俩逛后花园,5,25,14811775,62fa52c4,0
1445.824,ok？？   卧槽老板三国就是牛逼都飙英语了,5,25,16707842,95b63d86,0
1096.438,严颜：我去年买了个表的,5,25,16707842,b23cf626,0
344.624,据说李靖飞老师厨艺很好，剧里能吃的菜都是他做的,5,25,14811775,be2170a4,0
2471.334,你军训时候的样子↓,5,25,15138834,841a603,0
2502.519,在这里给大家科普下，铠甲合体需要等待中午，极阳之时借助光之力量方可召唤,1,25,16777215,7d65fb09,0
616.462,考验蜀汉皇叔牌草鞋防滑耐磨性能的时刻到了,1,25,16707842,ba71ef9d,0
2126.284,法正，字兰西,5,25,16707842,25fdafe1,0
953.801,三国的1石≈15.5kg≈34磅,5,25,16707842,61630b4,0
980.419,黄  忠  挥  泪  斩  孔  明,5,25,16707842,1c2f7917,0
1499.215,刘备夷陵之战也学诸葛亮激将黄忠。但是只学了表面不派人接应,5,25,8700107,a5f718da,0
0.967,吾虽年迈，箭矢犹锋！！,5,25,15138834,d32510d8,0
2317.125,张郃基本被5虎上将蹂躏了个遍，5虎一死，他就起飞了,5,25,15138834,c9495814,0
750.465,将军放心，仍在张将军手中,5,25,15772458,12e0ef0d,0
965.012,黄忠：你还活不过七旬呢！,5,25,15138834,8a589b48,0
2364.133,季汉的大家为什么都这么可爱啊,5,25,16776960,4c9e6082,0
842.358,瓦口关那边杀的热火朝天​这边的玄亮：贴贴,5,25,15138834,492b3173,0
928.678,黄忠：军师，你这个村夫！,5,25,15772458,d36fd523,0
2468.363,夏侯渊：我要和汉升老儿比坐禅,5,25,16755202,e67b608c,0
176.763,小乔不在的第九集，想念中,5,25,16776960,a68ea1e4,0
647.417,面对张飞我唯唯诺诺，面对魏延我重拳出击,5,25,15138834,902d8f34,0
517.837,此处名为“落飞坡”,1,25,16707842,afa5aa8c,0
2493.871,蜀  维  埃,5,25,15138834,9e9e757b,0
304.85,诈败、偷家，我魏延是专业的,5,25,16776960,ddf9b879,0
1366.699,子龙：你又开始了是吧,5,25,41194,f5d5b948,0
562.973,实景就是强,5,25,16776960,96c422b3,0
944.73,老夫老妻默契指数爆表,5,25,15138834,a33c522b,0
1420.606,如此说来，你很勇哦,5,25,16707842,e27778d9,0
1619.202,《曹孟德智激夏侯渊》,5,25,65535,2b226241,0
1008.895,下面请欣赏汉昭烈帝与诸葛武后日常大笑。,5,25,16646914,e58c7e26,0
1083.475,五虎上将评定标准：击败张郃,5,25,16777215,3f7811a5,0
1042.178,空拉伤弓吧？弓：我都要断了还在乎伤不伤？,5,25,16777215,5eaab2c9,0
2393.109,此时黄将军还在快乐的磨刀[dog.],5,25,16707842,bef4ad9,0
635.098,好会拍，怎么还给小马戴花花啊,5,25,16777215,f0a96f6f,0
2094.761,此山莫非是“定定军山山”,5,25,15138834,14484ee5,0
1135.421,子龙：张郃武艺高强，我当初长坂都弄不死他,5,25,15138834,90a07c19,0
1431.721,严颜:没爱了,5,25,15138834,da821e23,0
833.187,谈  情  说  爱,5,25,14811775,c088f756,0
1405.674,廉颇：撑死的,5,25,16777215,f49088c,0
1797.77,黄忠：好在我没去,5,25,15138834,da35c5db,0
1151.961,子龙你七十的时候还要去北伐呢23333,5,25,16707842,e53a7029,0
1076.456,军师:我觉得你能手撕了他,5,25,16707842,d6122f49,0
1054.944,黄忠：md太累了，爷不去了,5,25,15138834,471350f9,0
1392.591,真要替回来那就是另一个三国结局了！,5,25,16707842,10fceaa5,0
1094.991,严颜：那我不去了,1,25,16776960,86736b15,0
1840.508,马上就到你家门口,5,25,16707842,c1eb1204,0
1471.38,亮扇子一支，备就把头侧过来，绝了绝了,5,25,16646914,c3a7b4f1,0
907.223,大惊小怪 亮亮一直主母位,5,25,52480,bfc1b786,0
2432.752,保温杯里泡枸杞,5,25,16777215,b9caa4df,0
2171.389,笑的这么慈祥的老爷爷把妙才劈成了两半,5,25,15138834,18a4ea,0
1695.635,黄忠：还有这种好事？？？,5,25,16777215,20b4faa3,0
473.972,《躲避战争》,5,25,16707842,d6a06c23,0
2250.478,张合:我吃的亏比你见过的蜀军都多,5,25,15138834,cad3bd9a,0
2510.077,这一幕黄老将军太帅了！,5,25,16707842,cac7df45,0
712.238,后期诸葛亮看到张郃突围后感叹当年张飞是多么勇猛,1,25,16707842,ddbbc4b6,0
2116.11,空耳：炸了此山,5,25,16777215,e1dc62c9,0
1071.238,周瑜：又中诸葛亮之计也,5,25,16776960,8177f9ae,0
1596.499,就写了“妙才”二字,5,25,16707842,2a0c6378,0
1561.704,信：渊子！老兄我送你一句话！年轻人不要太气盛！,5,25,16777215,4d85b70b,0
215.145,《张 郃 要 斩 张 飞》,5,25,15138834,86004c29,0
673.952,待我去关后放一把火，看他出不出来,5,25,16707842,f7a240b9,0
1101.307,严颜：军令状我不签字,5,25,16646914,8d6c26d3,0
1960.959,置  换  反  应,5,25,15138834,f42a6d6c,0
1850.377,在拔两次就直接住对面营寨了,5,25,16776960,ee14ad0,0
336.451,《我已思得一计》,5,25,15138834,b82a620,0
1024.998,老干部活动中心笑死我了,5,25,16777215,cf3c78e9,0
486.276,在二爷死之前飞飞还是很礼贤下士的,5,25,16776960,3709a52,0
1906.257,《一回合》,5,25,16707842,3740169,0
1126.065,子龙有话尽可胡言,5,25,16776960,69847e94,0
758.313,旗都不换的哈哈哈哈哈夺笋呐！,5,25,16777215,b62658ad,0
2340.563,渊：怎么到法国了,5,25,15138834,480bebee,0
1518.332,好家伙，差点眼花将军师看成备备,5,25,14811775,7c93b58a,0
258.234,二哥要是不死，飞飞会越来越好的吧,5,25,16777215,1d6940b3,0
1527.859,马谡：曹老板还招人吗？,5,25,16646914,f0424c17,0
2033.3,古代还是挺仁义的，大将先单挑。,5,25,16707842,5b8ad28,0
1208.339,呜呜呜这里太好哭了 大备备终于有人马可以和曹操一决雌雄,5,25,16707842,7bede90,0
2277.582,老将军这是昨晚熬夜夺山才起床哈哈哈,5,25,16707842,7361e83a,0
1306.19,曹营上下严明，备备这里群臣列坐，最爱季汉的君臣气氛，与兄弟打江山！！,5,25,15138834,de0b05b3,0
1321.328,《孙权在合肥》,5,25,16777215,1dbcf3d1,0
273.783,你赔我手办！！！,5,25,16707842,f49088c,0
1630.672,一  整  个  理  解  错,5,25,16776960,9f4c7d01,0
1293.315,曹老板的优点，任何决策失误都怪自己,5,25,15138834,e0a0f14a,0
2051.078,找到村庄的你↓,5,25,16777215,9e6c8a55,0
2401.832,动作指导：孙悟空,5,25,15138834,465962df,0
2457.3,确定是来打仗的吗,5,25,16707842,5c182c3b,0
1018.313,        后面两人在干嘛？↓,5,25,14811775,9c6c36af,0
427.478,我们是过路的客商，复姓皇甫,5,25,15138834,4ce9d547,0
287.751,小郃同学，关灯,5,25,16646914,907b39e9,0
883.27,备备：嗯？ 主动探过头去。,5,25,9487136,4f244de9,0
1868.564,张郃这回是说对了，但败军之将对了没人听，沟通成本加大不利于工作本身进行。,5,25,16707842,5c182c3b,0
352.47,魏延: 学到了，这就拿子午谷奇谋和丞相对线,5,25,15138834,8cc0ab38,0
1624.786,曹老板：我他喵的让你多动脑子！,5,25,15138834,af942770,0
1994.384,两个人跑到中间打了一架,5,25,16707842,c89eb18a,0
1377.841,黄忠:我觉得你说的很对，那我不去了,5,25,9487136,80fdb788,0
872.227,但凡少看一眼主公也不至于看不着信,5,25,15138834,e6a5d629,0
2328.795,不穿铠甲节省体力，老年人了,5,25,15138834,4cc68eec,0
2409.152,动作指导：生气的孙悟空,5,25,41194,b71d5e92,0
2017.824,张郃：我拦了但没有完全拦住！,5,25,16707842,10fceaa5,0
1543.079,大魏限量版马克杯↓,5,25,16777215,43f1e4af,0
1456.23,扇子就这么放主公桌上了，不愧是两口子,5,25,14811775,417e8839,0
2448.564,刘氏集团员工午休中，勿扰,5,25,15138834,c1e6282a,0
2155.072,老黄看着好慈祥啊,5,25,16776960,474af2e9,0
1477.759,备备又宠溺指亮亮,5,25,16707842,41e7a76d,0
771.77,这波应该是张郃最大的黑点了，加上降将身份一直不受重用,5,25,16707842,b3cb4973,0
972.878,黄忠挥泪斩诸葛,5,25,15138834,26f81aee,0
1604.304,魏 国 企 业 文 化,5,25,4351678,e7a9e27f,0
1089.688,夕 阳 红 战 队,5,25,16646914,f0389c21,0
887.395,旁边没人你俩也咬耳朵……,5,25,16707842,b8a98388,0
2345.307,夏侯渊：“对面可是法军否！？”,5,25,41194,2b67d2aa,0
1670.591,后面座位好像一只大蟑螂,5,25,16707842,1fbc2ae6,0
233.23,大家知道巴西是个郡，开玩笑而已，还科普起来了,1,25,16765698,876db4d,0
2568.278,剪了一段夏侯渊半截身子都劈下来了,5,25,16646914,cdfb4f3b,0
2331.499,夏侯渊：我打到巴黎了？,1,25,16777215,415374c5,0
1816.019,老版的这些场面拍得太舒服了。真实。,1,25,16776960,47f24f5b,0
