time,text,mode,size,color,user
1394.94800,刘氏祖传第十八代诈骗术,5,25,16776960,b96739cd
938.14200,主  公  连  结,5,25,9033215,14bca2ce
2490.87100,的确，史料记载，此时的刘备曹操是一路人，脾气都不小，但这是演义嘛,5,25,15772458,d014ed1a
1688.37900,《隐藏在新手村的神级工匠》,1,25,16777215,671918d
931.83900,您好，您的好友分手大师已上线,1,25,15138834,7763f663
914.08200,翻译： 两个SSR血赚,1,25,16776960,c7710758
940.12200,主   公   连   接,5,25,13369971,34031962
1242.04200,刘备：此处东200里有个叫水泊梁山的去处,1,25,16777215,a137bbac
2186.84500,《微词》,5,25,16646914,925ac5f4
954.02900,主  公  连  结,5,25,16707842,97618c73
923.62900,张飞：任何邪恶终将绳之以法,5,25,16707842,565cf2ab
1016.89900,讲个剧外小故事：当年拍三国，刘关张的演员去村里偷玉米吃被农户发现了,5,25,104601,43fa480c
927.20500,眼睛瞪得像铜铃~,5,25,2236962,890eb747
201.72400,第一集 高俅发迹,5,25,16707842,fd450f9b
662.24700,知道中国人喜欢看热闹的原因了吧（doge ）,5,25,9487136,2d0de9a7
614.50700,龙王：我殿里有枚定海神针，你若拿得动便拿去吧,5,25,16777215,5dbc007c
490.31200,《俺们仨》,5,25,16776960,d4e58fbb
169.21700,张飞：没错我叫俺也一样,1,25,16777215,f92d5e3c
1058.17900,哈哈哈二爷这里没坐稳崴了一下，还特意捋胡子缓解尴尬，好可爱啊！！！,5,25,52480,b75230fe
1389.94800,刘备：上钩了上钩了,5,25,16707842,e58098a0
1798.68500,黄巾贼：出门遇到10张ssr打我，这游戏能玩？？？,5,25,16776960,bbfb2af8
1232.29400,张飞：老子给你个痛快！蜀亡,5,25,16707842,212b0f76
899.56400,刘备：等他们都残血了就扔精灵球,5,25,16707842,78388de9
562.50800,云长去矣！悲乎哀哉！！！陆树铭老师走好,5,25,38979,cec7894
176.91400,陆树铭（关羽扮演者）老师，一路走好,5,25,16777215,4729e681
217.93600,关二爷扮演者去世了,5,25,15138834,4bcd604c
16.03900,陆树铭老师，一路走好,5,25,16777215,164bd703
139.41800,20221101，陆老师一路走好，二爷千古,5,25,38979,bff1d7c4
2117.37500,三国志明确写了刘备是皇室后裔，曹操孙权也没质疑过这事儿，现在大聪明倒是多了,5,25,16707842,293133de
1116.72200,刘备：你们俩都身高九尺，七尺是说我呢？,5,25,16777215,9fbacd0a
2343.23000,阿斗：那你们有没有被摔在地上呢？,5,25,16707842,fcb9b8c0
1002.36500,我怎么没听说过关公管天气预报的啊（不是）,5,25,16776960,6930dc38
978.03900,飞飞：这不是打不过嘛,5,25,16776960,6930dc38
968.22500,其实飞飞心里想：可恶，要不是我打不过这两个，我今天非要把他的豆儿全磨了,5,25,16776960,6930dc38
1410.63500,需一千万（华佗笑道）,5,25,16776960,3a8343b4
1047.98300,飞飞最后一次坐主位 哈哈哈,5,25,15138834,4a1d63ad
2367.95100,《 报 答 一 顿 》,5,25,16776960,f3cd934d
758.49000,刘氏救国集团早期办公室,5,25,16776960,6930dc38
738.78900,关羽：他不捡钱，可以啊，等会我要收他做小弟,5,25,16776960,6930dc38
589.03500,关羽：什么爽文剧情,5,25,16776960,6930dc38
816.56600,要十斤绿豆，细细捏做臊子,5,25,38979,33eed214
2373.52800,关羽：你怎么就不能学学我直接灭口,5,25,16777215,19a4dede
1173.43900,翻译：还是给我打工吧,5,25,16707842,89432259
1032.15100,平生最爱斩颜良,5,25,15772458,1883abdc
855.47100,街坊邻居：捡绸子咯~上好的绸子，捡些吧？,5,25,16776960,1e9e2611
2390.86000,《出去揍揍》,5,25,15138834,72970292
806.26600,您的好友【磨豆机】上线,5,25,52480,194dd142
506.98900,备备：我叹口气关你屁事,5,25,14811775,4d8c30
995.78900,二爷啊，你这一生对得起兄弟对得起江山，但你对得起你的绿豆吗！！！,5,25,52480,1d6940b3
830.40900,关羽：（思索片刻）.....上好的豆粉，买一些吧,5,25,15138834,f1d27e83
1288.25600,刘备：那就是我传出去的,1,25,16776960,86736b15
1339.23700,28岁，在古时候已经算是中老年人了，寿命都不长,5,25,41194,20c5eb3f
1339.04300,把这段翻译成人话：老子想创业可惜没钱,1,25,16777215,a354517c
