time,text,mode,size,color,user
1753.90000,但是我怕被网暴,5,25,16776960,2259f82b
1727.72600,陈宫：卧槽那么多，那我还是把你请赏了吧,1,25,16777215,83310226
181.21600,孟 德 尔 献 柳 叶 刀,5,25,16777215,5dfcf209
2431.35900,这事故告诉我们，做什么事情要预先告知,1,25,16777215,a40cb2c0
2511.15200,鲍老师这里的表演真的把曹操的层次展示的很好：愧疚、无奈、遗憾、不甘、放纵、破罐破摔、强要颜面、枭雄霸气,1,25,16777215,c98690f4
1286.87600,曹操:这个仇我也记下了,5,25,15138834,7d62a222
327.07400,果然没人记得我的生日,5,25,16707842,17fcdd55
2291.80600,苏 醒 了 猎 杀 时刻,5,25,16707842,434b97e3
1467.75200,复姓皇甫，名军校,5,25,16707842,610a0ef3
2573.76000,乱世之中，曹操心狠多疑确实干了不少错事，但站在他的角度如果不心狠他也活不到最后,5,25,15138834,c302c7c4
883.75800,曹老板：你再骂,5,25,16707842,9b13ddc
351.02600,精  汉  落  泪,5,25,15138834,11f7da6c
1994.49700,曹老板一开始确实是想要匡扶汉室，做一辈子忠臣，但后来汉王室回天乏术，救不了了，索性自己干吧,5,25,4351678,41abab0d
550.57700,翻译：这鸟人说这么多却跑那么远有屁用,5,25,16776960,6930dc38
547.22500,《看我期末考试瞎答题的老师》,5,25,15138834,be0523b5
700.24000,四大刺客之一，要离，施苦肉计自断手臂刺杀了庆忌,5,25,15138834,d3985045
2500.02600,此处笑声中有哭音，孟德内心是复杂的,5,25,15138834,eeeb9c9
2434.42200,本来是要放过吕伯奢的，但是曹操想了一想，求生的理性占据了上风。。。,5,25,16776960,6930dc38
349.73300,竟要丧于曹孟德之手啊哈哈哈,5,25,41194,968c5fef
245.97700,蟠 桃 盛 宴,5,25,15138834,c6eb7110
2376.58900,从此再无热血青年曹阿瞒，只剩下一个枭雄曹孟德。,5,25,15138834,c1a0c6c3
2481.54300,其实这里可以推给董卓，说行踪暴露家中老小皆以被杀，我等拼死杀出，带着老伯一起跑就完了,5,25,16646914,692616f2
1612.24100,亮亮刚上初中，还在学三角几何,5,25,16777215,a5029048
1824.04900,幸好遇到陈宫，要不然。。。,5,25,16707842,c0bfae3b
1842.13900,《密   码   正   确》,5,25,64154,d4f7f287
2509.08700,陈宫：我救了个什么东西我是,5,25,16777215,82d19db1
1070.87400,此贼入睡之快竟堪比舍友（doge）,5,25,16707842,34709499
1200.78000,曹操:等着，这个仇我记下了,5,25,16777215,7d62a222
2016.40000,一股侠气，放着铁饭碗好前程不要，走险路扶社稷,5,25,16765698,50120d4a
962.57500,董卓对自己人其实还行，也有枭雄之姿，但是进了帝都就纸醉金迷逐渐不行了,5,25,16777215,8515ce4
1846.28600,语言指导：八岁的亮亮,5,25,9033215,97fa651e
918.36100,吕布：暗中观察.jpg ,5,25,15138834,7f38e2cb
1587.62200,这么流弊的曹丞相，竟如此凄惨，果然人要相信自己的信念,1,25,16777215,4fe14150
299.23900,王允：果然没人记得我生日,5,25,15138834,a5fdd456
456.86400,曹操：可知神医华佗否？我有一千万,5,25,16776960,b60c26fa
570.65400,王县长，我听说介错人拿长刀,5,25,16646914,d5a24f0
