time,text,mode,size,color,user,likes
909.763,得到结论：诸葛亮＞吕望,5,25,41194,49a5aa95,0
701.58,暂停救备备,5,25,16777215,3134f32e,0
679.611,历代帝王庙里供奉的季汉贤臣只有两个：诸葛亮、赵云,5,25,16646914,fbf0bb15,0
1532.494,您还真是一心向魏呢,5,25,16776960,10f2bd40,0
2169.185,秦宓的话翻译过来：老子今年高三,5,25,16776960,4c516f94,0
790.119,事实证明：贾诩说的每一句话都是正确的,5,25,16707842,bc934b65,0
2572.476,司马懿：不用这么复杂活得久就行,5,25,16707842,ad6e7a71,0
1524.651,张昭:对答啥啊? 直接投了,5,25,16777215,84a2bde0,0
1363.21,这里有个细节，刘禅面对诸葛亮时，亮鞠浅躬，禅转身离去时才鞠深躬,5,25,16776960,a137bbac,0
983.689,皇上为什么要自己撑伞,5,25,16776960,e7c47bd7,0
1045.478,诸葛丞相，颇思蜀否？,5,25,16707842,eaa3370c,0
396.152,《不 读 书》,5,25,16707842,f1b69de6,0
1062.178,孔明太宠刘禅了，应该让刘禅随军历练的,1,25,16777215,14fd2ecd,0
1506.627,孙权之父兄以身死换得江东六郡，权自然会以守基业为重。可用孙权对比曹丕刘禅,5,25,16776960,a137bbac,0
1575.847,张昭这么多年一直主连魏称臣，不忘初心甚是难得,5,25,16646914,9412a5e4,0
548.889,“君可自取”也有说法是丞相可以废刘禅换成刘永刘理,5,25,16777215,9c865014,0
948.674,珍惜这个继承了备备美貌的阿斗,5,25,16777215,4cff03ac,0
361.491,丞相：没人比我更懂马谡,5,25,16740868,1c9643da,0
1673.079,邓芝：你看他还得给咱赐坐,5,25,16776960,1e9e2611,0
848.806,哈哈哈哈此时的司马懿还没接受亮的毒打,5,25,16646914,1e9371d0,0
706.458,刘备最后一句：愿皆自爱。曹操最后一句：必令技女时时供奉,5,25,16776960,58577e3,0
1544.893,孙权：每与昭反，事可成耳,5,25,16707842,124e8ea0,0
1559.914,张昭老头心态好，活的久,5,25,16707842,6de989fd,0
1532.753,张昭真的是吴臣？他一直在降曹，他都没有停过,5,25,52480,89c2c2a,0
2146.525,这句话太讨打了，异地做客还问得这么挑衅,5,25,52480,dcbe9469,0
448.642,看到此处只为关羽落过泪,5,25,16707842,b6c725c8,0
2276.879,孔明面前耍口舌,5,25,16776960,fc2be58d,0
649.545,这个时候最在乎的就是亮亮与子龙了,5,25,16646914,f4a7cbe9,0
581.906,因为千古就出了这么一对君臣关系，所以后人不信也自然，总能找各种阴谋论来证明自己很聪明的样子,5,25,16777215,61afbe05,0
582.223,刘禅是仁君，唯一一次发怒杀人是因为那个人污蔑诸葛亮,5,25,16646914,78bce1b5,0
465.66,1诸葛亮=10曹丕=10徐庶=100程昱,5,25,16776960,af4a8961,0
1775.733,张昭：论打脸，我没服过谁,5,25,16707842,9f66792c,0
2409.788,张温:你看嗷，我喝完了哦,5,25,16776960,1e9e2611,0
590.349,马谡:原来我能听见,5,25,9487136,80fdb788,0
350.342,俩人唯一一次没听对方的都把自己赔了进去,5,25,15138834,80fdb788,0
795.474,贾诩：我拿的剧本你跟我犟？,5,25,16707842,5da3fd27,0
0.28,圣姿硕茂，神武在躬，仁覆积德，爱人好士，是以四方归心焉。,5,25,15138834,63c73727,0
1904.239,张昭：不好意思，是法国,5,25,9487136,5865cd7c,0
1815.869,李严就干了这一件人事儿,5,25,16707842,5c182c3b,0
1738.272,张昭：谁敢拦我投魏？？,5,25,41194,5865cd7c,0
633.378,对丞相和对子龙感觉不一样，子龙就是四弟的感觉,5,25,16777215,f832ddbc,0
840.134,草船借兵,5,25,15138834,cac7df45,0
1551.34,张昭是怎么做到每次都避开正确答案的,5,25,16707842,5570ea1f,0
2198.589,孔明：我从不做寻章摘句的学问,5,25,16707842,764259ee,0
1390.73,暗号：哈哈哈哈哈哈哈哈哈,5,25,15138834,9f997b20,0
176.946,曹老板不在的第四集，想他想他,5,25,16707842,4d68c193,0
806.272,司马懿：快打，你们死的越多我越高兴,5,25,16646914,49168b95,0
1882.64,东吴正确密码:嘲讽东吴人才济济,5,25,16777215,b2850559,0
877.898,孙权：你丫就不能换个数吗,5,25,16707842,64c6b8aa,0
865.216,孟获：如果早知诸葛亮这么猛就不贪那点钱了,5,25,16707842,64c6b8aa,0
855.459,马超：好猛哦,5,25,16707842,64c6b8aa,0
1666.642,张昭：完了魏国给的投降kpi完不成了。。。,5,25,16776960,1e9e2611,0
1017.838,刘禅：我不是百官，我可以进,5,25,16776960,1e9e2611,0
478.386,就知道我开了弹幕后不会难过了（doge,5,25,16707842,e40641e0,0
684.785,《奉孝》,5,25,16707842,11b493f9,0
1841.165,带投大哥；是时候投蜀了,5,25,16776960,19df2c63,0
828.443,《带甲百万》,5,25,16707842,f7a240b9,0
916.112,曹丕：听得我热血沸腾,5,25,15138834,3cd651,0
1834.066,老三国语言真的舒服,5,25,16707842,d8bbc122,0
2296.13,《高等数学》,5,25,16777215,4cff03ac,0
1180.137,禅：像极了高数课听不懂还要点头的你,5,25,16777215,4cff03ac,0
2101.586,永罢刀兵是真的，自此吴蜀两国直到灭亡都没有再发生过战争,5,25,16707842,3758955e,0
1497.201,张昭:投了投了,5,25,41194,265b8d17,0
295.827,诸葛亮善观天象，岂能不知刘备气数已尽,5,25,16707842,246d12c5,0
719.303,草！！救命回忆杀不要啊啊啊啊,5,25,16707842,236cac00,0
