time,text,mode,size,color,user,likes
292.651,这里有种说法，是曹操故意想让关羽跟嫂嫂发生点事情，然后羞于见刘备,5,25,16777215,be45dc6c,0
1774.075,二爷被哥哥骂好委屈啊hhhh,5,25,16707842,f8428053,0
2240.357,众所周知三国时期的话疗技术非常的高,5,25,16646914,d4b758c5,0
2244.126,要是关羽有诸葛亮的口才，劝返文远投刘备，这下就是六虎上将了,5,25,16755202,3d6a00aa,0
771.264,曹  老  板 ： 我  失  恋  了！,5,25,10546688,d4f7f287,0
229.143,二位曹操一路辛苦 我的耳朵怎么了233333,5,25,16707842,5f1e7e90,0
1116.209,徐晃这里是顶了二十合败的（,5,25,16646914,69725bb4,0
2572.006,曹老板：委屈屈！！！又爱又恨,5,25,16646914,7aa6033b,0
649.149,曹老板：给我加大力度追杀刘备,5,25,38979,cdfcb4b5,0
195.686,土山芋曹操谁说的哈哈哈 笑到邻居报警,5,25,16776960,96c422b3,0
482.561,曹操：他好爱他，终究是我错付,5,25,16707842,e1ba96f6,0
198.715,《一边思念刘备》,5,25,9487136,a11ae7ac,0
1270.905,曹老板：我 爱 他,5,25,16777215,cca353b,0
1273.39,曹老板：爷心动了。,5,25,38979,77238173,0
2395.189,刘备才豫州牧，关羽汉寿亭侯，等级压制,5,25,16707842,725964bc,0
625.708,曹阿瞒:？？？我说给你了么？？让你试驾一圈儿而已,5,25,16707842,857d53ef,0
628.304,“他拜我他心里有我”,5,25,14811775,a11ae7ac,0
1569.637,刘备发动技能：魅惑,5,25,16711935,a1d90b50,0
1072.014,像极了线上自信对战的我,5,25,41194,2182d54b,0
1806.701,吕布:大丈夫生于天地之间，岂能郁郁久居人下？,5,25,41194,bb064ae0,0
2381.018,阿~~嚏~~！！,5,25,16765698,b6d11a02,0
2043.534,文远：难道这就是你分手的借口？,5,25,16776960,8d85b4c8,0
355.036,我终于知道为啥二爷是门神了,5,25,38979,7766721a,0
524.018,吕布：换我早喊义父了！,5,25,10546688,f6543095,0
299.748,曹操:我觉得最好的战利品都让给你了,1,25,16777215,54b8b99f,0
940.349,刘备发动技能：供火，和事,1,25,16777215,b0f5e95f,0
442.9,曹老板：看我168氪的皮肤,5,25,16776960,70283469,0
1233.317,《     我      虽      不       才     》,5,25,41194,d6d69a47,0
1345.706,刘备:且听我狡辩,5,25,15138834,ae9ffbb6,0
449.626,曹老板：都来看看帅哥,5,25,16776960,96c422b3,0
451.216,洋装虽然穿在身，我心依旧大汉心,5,25,16776960,15a8a04b,0
954.554,田丰：好话坏话你全说了,5,25,16707842,40971ff1,0
755.419,曹老板看到了年轻的自己，意气风发忠心大汉,5,25,16707842,b3cb4973,0
1049.768,这里魏续愿意上前一战也是成全朋友、接纳自己投降的曹操的忠义,5,25,16707842,7ca9597c,0
713.576,曹老板虽然爱二爷，但是也被桃园结义之情深深打动，还是选择了有一种爱叫做放手,5,25,16707842,5c182c3b,0
1155.539,舍不得用 体验卡,5,25,16707842,f8a93566,0
659.391,阿瞒真的心甘情愿做舔狗,5,25,15138834,8ef77472,0
272.062,企业文化,5,25,16707842,52312587,0
2029.239,文远: 我体会到了曹老板的痛,5,25,8700107,80fdb788,0
1806.237,吕布抢答：岂可郁郁久居人下,5,25,16707842,fe7a4ef1,0
2475.429,榜一大哥の痛,5,25,15138834,1ad51642,0
1207.485,曹老板：那我的兵马连土鸡瓦犬都不如？,5,25,16707842,2625febc,0
798.999,刘备：你地盘兄弟老婆全没了你高兴一个给我看,5,25,16777215,35f426d2,0
1550.549,的确是这样啊，大宝备智力上线了（,5,25,16740868,3d2fd08e,0
606.634,小兵:我的一等功!!,5,25,16707842,ef26de99,0
2563.615,众人：你们听听，这是曹孟德说出来的话？,5,25,15138834,fd6f53b9,0
184.107,陆老师已经在11月1日去世了，祝陆老师一路走好！,5,25,15138834,ad09e48b,0
2364.496,汉寿亭侯是二十级爵位中等级最高的列侯，列侯又分县、乡、亭，东汉并没有公爵↑↑↑,5,25,52480,103e745b,0
1870.055,陈震：后面我也跟着皇叔跑了,5,25,52480,103e745b,0
1452.49,关羽：一刀秒了有什么好说的,5,25,16777215,519dd1b5,0
349.641,秉烛达旦真君子，夜观春秋第一人。,5,25,16646914,6e6f3136,0
319.207,曹操：我以为他是装的，谁知道是真的,5,25,10546688,7d7ffe75,0
2423.056,关羽：卧槽这咋还有一帮,5,25,16777215,79f0d2b0,0
2112.874,张辽：那行，我就跟二哥去了,5,25,16777215,79f0d2b0,0
305.956,曹操:吾常常因为过于变态，而和云长格格不入,1,25,16777215,cded8f7,0
783.478,恭喜本初解锁高危职业“刘备上司”,5,25,41194,ab89fa09,0
2260.988,二爷笑起来又暖又可爱,5,25,15138834,c5596a3e,0
2440.832,后面一文一武俩帅哥太周正了,5,25,10546688,4d4673d8,0
2408.401,关羽老精神洁癖了哈哈哈,1,25,16777215,cf254a58,0
1638.913,他们离得那么远，甚至在阵营里的地位都这么悬殊，,5,25,16646914,1b13e307,0
1852.045,曹操：所以，爱会消失吗,5,25,52480,df529dc4,0
2131.121,不如与云长一同投奔刘备,5,25,38979,55ef5537,0
2101.35,曹老板：想氪金都没地方啊！！！,5,25,15138834,348ebefd,0
1020.213,吕布：真给我丢脸,5,25,16707842,8f78de67,0
1009.931,奉 先（幻听）,5,25,16777215,218822f2,0
1188.816,曹：wc他真的好帅,5,25,16776960,a908831,0
1860.729,陈震:卧槽这个团队氛围好羡慕,5,25,41194,842e43ec,0
1719.519,《足下》大宝备杀人诛心啊(┯_┯),5,25,41194,9f629369,0
426.309,关羽：等我大哥打下益州，老子穿蜀锦,5,25,16777215,49ccb2bd,0
2231.921,张辽：刚才洗澡，没看手机,5,25,16776960,e91818d2,0
2146.362,曹操：只要我不登录，就不会显示到期,5,25,16776960,e91818d2,0
1446.094,二爷:敢伤我文远，头都给你抡飞了,5,25,15138834,155ff719,0
342.118,但曹操太低估二爷的人品和意志力了，压根想不到关羽能在外面站一晚上,5,25,16755202,f13f4eab,0
1530.258,备备：只要让说话就能活,5,25,16707842,41cc436c,0
393.423,二爷：怎么又是绿衣服,5,25,38979,d36fd523,0
1377.803,非文将军不能送此头,5,25,16646914,9a3f6ed8,0
1473.597,曹老板：小兵回去升职加薪,1,25,16776960,86736b15,0
2200.304,翻译：唯独不见云长,5,25,16776960,b219323e,0
2378.451,印上刻字：不离不弃，芳龄永继,5,25,16776960,d423e22,0
2066.782,张辽：句句戳我痛处,5,25,16765698,416a7664,0
1358.141,赤面长须的人是多，但是万军中取上将首级的就不多了,5,25,16707842,85c4a3cc,0
638.759,应该说：锦袍常见而千里马不常见，丞相肯将此马赠我，足见丞相对云长之厚爱,5,25,15138834,7ec27058,0
1338.376,本初但凡决定对一次，都是稳赢的,5,25,16707842,9e7e37e6,0
2399.634,汉寿亭侯是因为首字为汉才让关羽如此珍视。,5,25,15138834,296092ec,0
669.96,翻译翻译：你是个好人，我们还是做朋友吧,5,25,52480,b6aa28df,0
2250.448,关羽需要原地转圈保持冲锋状态,5,25,16707842,4675d9a,0
611.646,笑死，小兵为这个家操碎了心,1,25,16707842,9c6c36af,0
1789.88,在外边满脸无敌的二爷被哥哥两句话骂哭了呜呜呜,5,25,16707842,63c03b85,0
1560.139,袁绍：好像是这么个理,5,25,16707842,2403f448,0
726.025,阿瞒的两次虐恋：突然分手和爱而不得,5,25,13369971,8ef77472,0
671.982,云长：我还忘不了他,5,25,52480,82d44f65,0
263.499,曹操 -获得关羽使用卡一张,1,25,16777215,97300fdd,0
1807.644,曹操：点一首《白玫瑰》,5,25,41194,c759c31e,0
654.197,聊不下去了哈哈,1,25,16777215,8736f4d1,0
2496.952,《生擒》,5,25,38979,b37849d5,0
1644.236,颜、文 礼貌？？？,1,25,16777215,b37849d5,0
1617.711,贤才说是,1,25,16777215,b37849d5,0
508.991,曹操舔狗，舔到最后，一无所有,1,25,16777215,6c34029c,0
1473.277,小兵:我布道啊,1,25,16777215,b37849d5,0
2497.994,大早上的就喝这么多？,1,25,16776960,af4597df,0
813.414,你不帮我，怎不忧愁,1,25,16777215,8e86cf8a,0
648.354,看你多问,1,25,16777215,b37849d5,0
628.78,因为好马好跑路啊,1,25,16777215,b37849d5,0
992.175,平生最爱斩颜良,1,25,16776960,af4597df,0
2529.967,1,1,25,16777215,737ccfdd,0
1335.845,皇叔精明就精明在这里，每次都能保自己一命,5,25,16707842,c9d3e730,0
1095.012,五子良将,1,25,16777215,a99e404b,0
1465.615,弹幕呢,1,25,16777215,54607f91,0
1456.575,弹幕呢,1,25,16777215,54607f91,0
1741.517,刘备真会pu,1,25,16777215,932a83fb,0
2555.602,bookbook,1,25,16777215,5f9299cd,0
1000.471,假仁义,1,25,16777215,a5e4cc21,0
858.357,上次……,1,25,16777215,2a8c9ffc,0
953.449,这人坏得很呐,1,25,16777215,5b298365,0
2578.793,曹操说这话时后槽牙干碎两颗,5,25,15138834,b644d4e0,0
567.541,886,1,25,16777215,e7c49d2e,0
2563.113,哈哈哈哈哈哈啊哈哈,1,25,16777215,75b3ae6e,0
2508.099,赤兔马，关羽已经谢过曹操了,1,25,16777215,75b3ae6e,0
1173.395,你舍不得开的车别人站起来蹬,1,25,38979,3b700106,0
794.171,老大杀手来了,1,25,16777215,75b3ae6e,0
259.706,看看人家的老婆，吕布的老婆,1,25,16777215,75b3ae6e,0
802.048,得不到的永远是最好的,1,25,16777215,f161de58,0
772.828,果然得不到的永远是最好的,1,25,16777215,f161de58,0
762.628,曹操：真是让我又爱又恨,1,25,16777215,f161de58,0
661.028,关羽你怎么这么直男，你就不能说点好听的骗骗丞相吗？,1,25,16777215,f161de58,0
577.513,刀都没拿,1,25,16777215,58ec19e7,0
2496.336,《这是今天听到最好笑的话哈哈哈生擒关羽哈哈哈哈哈》,1,25,16777215,a48bd55a,0
2465.701,这样的人千古难有哦,1,25,16777215,a48bd55a,0
2403.707,吾等需像关将军学习啊,1,25,16777215,a48bd55a,0
2379.685,这可是用俸禄的。公务员待遇哈哈,1,25,16777215,a48bd55a,0
2238.673,好帅这一身,1,25,16777215,a48bd55a,0
