time,text,mode,size,color,user,likes
912.826,刘备:心动100%,5,25,16777215,21c84a86,0
2382.065,关羽“你没戴口罩！”,5,25,16707842,26a8edba,0
2573.859,老爷爷内心：好不容易来了个人美心善的还要走嘤嘤嘤,5,25,16707842,580a86ac,0
1300.471,眼泪战术，皇叔最常用技能之一,5,25,38979,1c16eb4,0
1517.988,俺也一样❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗,5,25,41194,d44c1c5f,0
1554.874,刘备为了给两个兄弟报仇倾全国之力讨伐孙吴，最终饮恨白帝城，其中相差不到5年,5,25,16765698,be429cd1,0
1010.341,绿豆：爱还是会消失的，对吗？,5,25,38979,d3cdd1cd,0
210.392,分酒必喝，喝酒必疯,5,25,16777215,d3a6f510,0
1504.239,俺给一样～,5,25,16707842,bc8162b3,0
2277.354,我清我自己,5,25,16646914,2527b17a,0
744.314,确认过眼神，我遇上了爱的人,5,25,16707842,9101a796,0
454.182,史上最著名的个体户,5,25,16776960,fbc8c967,0
2526.486,飞飞要打人，二爷直接要杀人了hhhh,5,25,14811775,c2b87476,0
935.466,刘备发动技能：一龙分二虎（冷却时间100年）,5,25,16777215,76d5cf8a,0
316.068,PDD（PD帝）,5,25,16776960,f06c9c13,0
417.639,此时，孔明刚刚三岁,5,25,16777215,c7efde8a,0
932.754,分 手 大 师,5,25,16777215,51c26c4b,0
1377.046,飞飞：误入传销组织，人财两空,1,25,16777215,947c5dbc,0
1331.68,刘备：我如今二十有八 连个老婆都没有啊,5,25,16646914,c63de3ec,0
1236.903,刘备：别急，你让我想想该怎么忽悠,5,25,16707842,1f44ad64,0
154.28,欧尼墙（bushi）,5,25,16707842,cfa1d396,0
2518.166,备备内心：来早了来早了,5,25,15772458,580a86ac,0
1703.444,史上最猛铁匠，随手打出三把SSR武器,1,25,16777215,12c710db,0
2419.737,刘备的意思是：等他出城了再打，结果张飞急了,1,25,16777215,e729ecac,0
1734.333,曹老板怎么也想不到刘备是这样抽到ssr的,5,25,41194,d6b0b43d,0
1552.761,刘备：还是我活的最长,5,25,15138834,8e56ccc9,0
2366.739,《暴 打 一 顿》,5,25,15138834,337b66aa,0
1555.36,黄忠：不求同年同月同日生，但  赵云：别说了,5,25,16707842,ac45b1cd,0
1169.711,历   史   唯   物   主   义,5,25,16707842,2bd9b89d,0
289.17,东汉的皇帝大多数都很年轻，或者说很短命,5,25,16777215,50e2b91c,0
644.323,刘备：这是个好机会啊，我要把它拐来当弟弟,5,25,16707842,600d50ed,0
928.891,二爷：嘤嘤嘤,5,25,15138834,79abd4f6,0
266.994,林黛玉倒拔垂杨柳，武大郎火烧博望坡，诸葛亮三打白骨精，孙悟空今大观园（都是名场面啊doge）,5,25,15138834,da389bbe,0
1926.932,三国演义原著就有救董卓，因为董卓轻视，飞飞操刀要把董卓沙了。,5,25,16707842,5a365bd0,0
2401.689,去吧，记得戴口罩,5,25,16776960,4c551cae,0
986.575,而且磨盘压井其实是为了广撒网找几个自己认可的人，也算很有心计,5,25,9033215,6db63d33,0
1708.149,此时亮亮小奶音：老师，何谓天下？,5,25,6830715,ffefc5cf,0
1508.413,《俺  也  一  样》,5,25,15138834,d05296be,0
1048.423,好嘛，飞飞你直接抱着酒坛子 了  哈哈哈哈哈哈,5,25,15138834,f202b7b9,0
879.872,隐藏剧情：五虎上将从现在就开始抢排名了,5,25,16707842,9101a796,0
1846.661,任务目标:保护我方董卓,5,25,15138834,5033b763,0
800.601,这里张飞眼睛一转，估计在想怎么找机会和他打架呢,5,25,15772458,71a45421,0
2102.034,楼 桑 村 的 大 树 也 挺 凉 快 的,5,25,41194,ea2efbb4,0
852.119,飞飞:我是来认亲的,5,25,41194,12e0ef0d,0
272.311,这时候猴哥已经被压在五行山了呜呜呜呜,1,25,16777215,3b01bdfb,0
1227.239,刘备：我们仨组队，排位上王者,5,25,16777215,14a0be91,0
494.274,《看  不  懂》,5,25,16707842,69aa3532,0
505.278,刘备：你懂个der！,5,25,16646914,4bbf1ca5,0
1240.091,“他为你俩报仇时可一点没犹豫过”，哭了,5,25,8700107,4b923826,0
1920.182,他们都只是农民，我们只想吃饱饭，甚至只想吃上饭,5,25,16646914,7ea50705,0
925.439,飞飞没有心理活动，笑死,5,25,41194,938f57b3,0
1101.672,真·张三,5,25,15138834,851f9c19,0
922.879,主 公 连 结,5,25,14811775,db9331d4,0
512.774,电   音   鼓   点,5,25,15138834,befab9e1,0
934.417,刘 备 的 力 气 成 谜,5,25,16776960,56e6398,0
1047.894,这个细节 刘备没有说自己哪来的,5,25,16646914,3929bf3a,0
884.094,咱国的围观是从老祖宗开始就刻在DNA里了,5,25,15138834,6f246601,0
1272.323,飞飞公主太好笑了哈哈哈哈哈,5,25,41194,a334480,0
1506.485,《俺也一样！》,5,25,16646914,eec106fa,0
