time,text,mode,size,color,user,likes
1676.667,新三国这里被小乔接走了，真服编剧脑回路,5,25,16707842,758e5d4e,0
1241.471,希望大家能为唐老师鼓个掌，这一集是94年冬天拍的，唐老师穿的很少，光着脚冻了两天,5,25,15138834,2f634d6d,0
1463.585,等录取通知书的你,5,25,16776960,b10fd31d,0
2125.234,亮子你好浪漫啊,5,25,9033215,f4b9a44a,0
1520.277,周瑜：请问江东故主孙策可有投胎转世？,5,25,15138834,6458fa89,0
2218.431,马谡：合着军令状就对我管用呗,5,25,16707842,8978d788,0
968.85,唯物主义东吴,5,25,16707842,75b98288,0
1954.482,白起：谁叫我,5,25,15138834,be77aed8,0
1672.9,吴兵：？？？大嘟嘟在船上干嘛，哦哦哦哦 撞甲了,5,25,16707842,f132f970,0
992.936,不愧是伯符的好兄弟，唯物主义精神还在,1,25,16777215,ed7441c4,0
429.78,现在知道联盟了？当初还想者要害我呀,5,25,16707842,dc851c7f,0
397.309,厉害啊，“备”字还有避讳！,1,25,16777215,14f7f40b,0
1742.951,妈呀口型居然是：迎接主公！,5,25,10546688,af137ade,0
1977.809,哇，演技真的可以，语气对黄盖这么轻柔,5,25,16707842,64b8eb87,0
263.748,↓ 冢中枯骨 ↓,5,25,16646914,a62187fc,0
470.189,亮亮被于吉盗号了！,5,25,16777215,cd1780e2,0
2400.781,这段记下来，上方谷要考（刀）,5,25,16777215,c7e8f93e,0
1711.417,亮亮：不加班谢谢,5,25,16765698,5b9d883f,0
1715.573,导演：哪个不长眼的喊暂停？叉出去！,5,25,16707842,70b4b279,0
1652.505,嘟嘟！诸葛亮化作蝴蝶飞走啦~,5,25,15772458,b8d987a0,0
374.625,诸葛亮作出了一个违背祖宗的决定,5,25,10546688,5aa20e4a,0
1459.799,周瑜:老子正好饿了你怎么跑了,5,25,15138834,ecdd0c9d,0
2014.218,嘟嘟对手下小兵宽容，对老将军尊敬，大爱嘟嘟#～-%（&*(&,5,25,16707842,a009e750,0
468.765,诸葛：天气预报说三天我也没办法,5,25,16646914,948eb8f9,0
1833.362,周瑜：你语音包里就这一句话？,5,25,16777215,1e71b056,0
2234.557,备备:诶？？？怎么想都是我亏啊？？？,5,25,15138834,4346c4fe,0
2227.059,小兵：我直接一个大闪,1,25,16777215,36bd0d57,0
2250.352,备：怎么感觉全是我亏呢,5,25,41194,82eeae70,0
504.451,诸葛亮是预测了风，七星坛祭风只是幌子，不过是给自己脱身的准备,5,25,41194,9cbc2819,0
1538.47,诸葛亮：想不到吧，我拿你寿命祭的风,5,25,15772458,a77814c8,0
2334.189,孔明：想想曹操，念念旧情！,5,25,16646914,27e3d858,0
1477.416,正史上亮没有参与赤壁之战，冬天的东风是长江的特色，周瑜常在江边，知道规律,5,25,14811775,b3ec0517,0
2430.554,《猴王半夜出世》,5,25,16707842,e57f1b,0
251.303,亮子:哟哟哟 这不周公瑾吗？几天不见 这么拉了？,5,25,16777215,8074bad7,0
388.117,羽扇的奇妙用法,5,25,16777215,a8cebea8,0
2437.617,↓已经被安排得明明白白,5,25,15772458,8822a469,0
795.359,亮亮:如此赤诚之人，不多了啊,5,25,41194,23b1e693,0
494.44,孙策：装神弄鬼，推出去斩了！,5,25,16707842,91ebc749,0
2138.603,关二爷：老子皮肤都换好了，我不上！,5,25,52480,d1f61737,0
2287.047,备备：我马上撕掉,5,25,16777215,4a88985e,0
581.757,周瑜：此人已经不是聪明的层面了,5,25,16707842,317bcd0b,0
1509.399,孙策：不可能！绝对不可能！,5,25,16776960,65670f37,0
339.043,诸葛亮：需用利斧砍开头颅,5,25,16777215,605a721f,0
1134.117,遥想公瑾当年，雄姿英发,5,25,15138834,479cf561,0
1340.525,来人，喂嘟嘟吃饼,5,25,16707842,3dbc81ce,0
1425.237,诸葛亮：东风快**来，脚丫子快冻掉了,5,25,15138834,dc783bc8,0
2079.442,曹操:卧槽能玩不，做饭都预料到了,5,25,16707842,f6d90d98,0
1376.632,亮亮体力不错啊，舞了一上午剑,5,25,9033215,b76159ec,0
2452.95,“多次暴露军事漏洞的敌方突然陷入无线电静默”,5,25,16777215,2d3d3913,0
2192.877,备备：我去|,5,25,15138834,afbcab5e,0
2493.029,好言难劝该死鬼哈哈哈，操已经听不得这些话了,5,25,15138834,a7aebc64,0
899.063,招来了孙策亡灵，与丞相扭打做一团,5,25,14811775,a382374e,0
