time,text,mode,size,color,user,dmid,likes
1243.708,凛绝对喜欢优香！之前也是，优香的愿望就是她的愿望,1,25,16777215,afc7c50c,1308104937179279104,0
1102.543,组对暗杀（1/1）,5,25,15138834,1985e57a,1298334332771162624,0
1197.736,难受飞,1,25,16777215,482813f6,1251496809302535936,0
1092.127,小伙挺会,1,25,16777215,482813f6,1251493236376311040,0
375.629,夺舍姐妹可太草了,1,25,16777215,482813f6,1251467368316747264,0
232.695,不要男！,1,25,16777215,482813f6,1251466169333195008,0
171.576,不要男的！不要！,1,25,16777215,4610e1f5,1245817002161893888,0
156.369,不要男的,1,25,16777215,4610e1f5,1245816874487443456,0
1108.037,啊这…不好吧,5,25,15138834,50fc0d49,1245744235911701248,0
1234.115,橘势大好,1,25,16777215,d70ac48f,1237202131250285056,0
1135.043,双击屏幕帮助纱季完成愿望,1,25,16777215,bea24d14,1125472591797169152,0
1123.769,气氛不对啊？？,1,25,16777215,652275ee,3992961141,0
1094.167,？？,1,25,16777215,652275ee,3992959461,0
